Fläche;Raster;Rasterpunkt-Koordinaten [m];;;Momente [kNm/m];;;;Querkräfte [kN/m];;Normalkräfte [kN/m];;;
;;;;;-0.40;-2.19;-78.67;0.14;0.71;-175.52;-72.67;-142.33;-15.34;25.10
1720;1;-1.450;1.450;-3.744;0.65;-0.38;89.88;1.44;3.99;172.78;111.92;43.98;62.03;76.74
;;;;;-0.61;-2.43;-89.97;0.13;0.81;-177.70;-75.64;-139.32;-16.89;25.66
1721;1;-1.450;1.550;-3.760;0.72;-0.40;85.50;1.59;3.61;137.42;108.37;38.58;64.81;79.95
;;;;;-0.85;-2.68;-89.32;0.15;0.63;-172.85;-78.00;-136.05;-15.89;26.04
1722;1;-1.450;1.650;-3.775;0.80;-0.34;87.36;1.73;3.54;138.53;104.99;-36.88;67.57;81.98
;;;;;-1.06;-2.91;-87.64;0.16;0.77;-160.84;-79.75;-132.56;-14.51;26.20
1723;1;-1.450;1.750;-3.791;0.90;-0.31;89.92;1.89;3.66;137.73;101.77;-38.67;70.49;82.28
;;;;;-1.25;-3.14;-86.40;0.15;0.74;-147.78;-80.87;-128.86;-14.59;26.13
1724;1;-1.450;1.850;-3.807;1.00;-0.29;87.15;2.05;3.74;-51.95;98.70;-40.60;73.77;80.36
;;;;;-1.36;-3.36;-86.13;0.14;0.70;-129.77;-81.30;-124.91;-14.31;25.80
1725;1;-1.450;1.950;-3.823;1.11;-0.29;87.94;2.21;3.78;-47.87;105.42;-42.67;77.75;81.92
;;;;;-1.44;-3.57;-85.29;0.13;0.67;-107.50;-80.97;-120.66;-13.50;25.19
1726;1;-1.550;0.050;-3.545;2.84;0.16;82.22;2.54;6.82;179.16;80.33;-21.30;59.60;128.80
;;;;;0.36;-2.34;-56.18;0.36;0.69;-177.92;-22.73;-275.15;-54.44;15.25
1727;1;-1.550;0.150;-3.560;2.95;0.14;81.19;2.43;5.74;178.76;82.35;-20.49;54.36;119.50
;;;;;0.38;-1.94;-82.96;0.30;0.54;-178.12;-21.76;-260.76;-47.13;21.26
1728;1;-1.550;0.250;-3.576;2.94;-0.13;82.64;2.27;4.23;179.94;89.93;-26.36;34.30;111.17
;;;;;0.39;-1.60;-23.57;0.25;0.73;-178.83;-25.66;-248.01;-40.50;19.60
1729;1;-1.550;0.350;-3.591;2.77;0.12;85.20;2.10;4.72;177.81;94.63;-37.20;33.17;102.78
;;;;;0.18;-1.43;-23.78;0.20;0.67;-178.21;-29.39;-234.96;-40.65;18.24
1730;1;-1.550;0.450;-3.606;2.49;-0.13;88.68;1.90;5.36;177.08;110.03;-33.06;30.14;94.25
;;;;;-0.13;-1.46;-24.10;0.25;0.65;-178.44;-32.43;-220.93;-39.63;17.10
1731;1;-1.550;0.550;-3.622;2.15;-0.15;73.49;1.69;5.43;171.99;124.03;-29.19;31.64;86.41
;;;;;-0.27;-1.45;-89.89;0.24;0.65;-175.76;-34.39;-207.21;-37.68;16.91
1732;1;-1.550;0.650;-3.637;1.78;-0.17;74.05;1.46;5.34;179.52;132.30;28.27;33.50;79.63
;;;;;-0.37;-1.40;-84.86;0.19;0.72;-163.84;-35.21;-194.42;-34.70;17.86
1733;1;-1.550;0.750;-3.652;1.41;-0.24;74.23;1.24;5.25;179.25;135.85;33.94;35.71;74.39
;;;;;-0.47;-1.33;-78.98;0.24;0.82;-175.21;-41.51;-182.69;-32.59;18.45
1734;1;-1.550;0.850;-3.668;1.04;-0.29;74.79;1.03;5.11;169.68;135.67;38.33;39.01;71.78
;;;;;-0.50;-1.42;-72.27;0.22;0.85;-175.53;-47.26;-172.18;-30.87;19.60
1735;1;-1.550;0.950;-3.683;0.71;-0.31;82.92;0.99;5.02;172.14;132.78;41.51;42.02;68.57
;;;;;-0.48;-1.55;-83.09;0.20;0.78;-163.71;-52.43;-162.96;-29.31;20.67
1736;1;-1.550;1.050;-3.698;0.47;-0.33;77.56;1.03;4.90;178.02;128.16;43.49;45.15;68.14
;;;;;-0.51;-1.73;-80.40;0.18;0.81;-173.29;-55.99;-154.86;-26.49;20.82
1737;1;-1.550;1.150;-3.714;0.43;-0.35;85.00;1.12;4.66;161.82;123.17;44.22;46.77;69.81
;;;;;-0.45;-1.96;-76.77;0.16;0.82;-177.52;-60.23;-147.72;-22.95;17.91
1738;1;-1.550;1.250;-3.729;0.43;-0.37;89.04;1.22;4.32;167.25;118.65;43.63;51.33;72.11
;;;;;-0.46;-2.19;-73.53;0.12;0.54;-166.15;-63.85;-141.07;-19.17;18.26
1739;1;-1.550;1.350;-3.744;0.45;-0.40;84.85;1.35;3.96;172.82;113.79;41.70;54.21;74.61
;;;;;-0.59;-2.43;-79.35;0.12;0.52;-154.46;-66.82;-137.47;-18.70;18.51
1740;1;-1.550;1.450;-3.760;0.50;-0.41;88.07;1.48;3.82;178.99;108.95;38.53;56.97;76.90
;;;;;-0.84;-2.67;-74.87;0.13;0.33;-171.46;-69.16;-135.07;-16.41;24.68
1741;1;-1.550;1.550;-3.775;0.57;-0.44;89.71;1.62;3.73;174.56;104.31;34.33;59.66;77.83
;;;;;-1.05;-2.91;-87.76;0.15;0.84;-179.08;-70.88;-132.43;-16.59;25.04
1742;1;-1.550;1.650;-3.790;0.66;-0.37;80.98;1.76;3.88;154.57;99.98;-35.82;62.39;78.64
;;;;;-1.22;-3.13;-89.78;0.16;0.81;-166.76;-71.97;-129.58;-16.92;25.18
1743;1;-1.550;1.750;-3.805;0.76;-0.29;81.47;1.91;3.96;162.68;95.98;-37.67;65.31;79.40
;;;;;-1.31;-3.35;-88.38;0.15;0.71;-166.06;-72.42;-126.52;-17.18;25.08
1744;1;-1.550;1.850;-3.821;0.87;-0.29;80.24;2.07;3.98;179.59;92.28;-39.67;68.62;84.96
;;;;;-1.38;-3.56;-87.38;0.15;0.67;-145.40;-72.22;-123.24;-16.87;24.73
1745;1;-1.550;1.950;-3.836;0.99;-0.30;72.71;2.22;3.94;-56.86;100.17;-33.98;72.73;88.15
;;;;;-1.44;-3.75;-86.81;0.14;0.63;-133.52;-71.35;-119.69;-16.03;24.11
1746;1;-1.650;0.050;-3.570;2.58;0.19;80.86;2.28;6.51;179.75;84.25;-17.73;57.34;121.96
;;;;;0.36;-2.08;-60.62;0.33;0.55;-179.01;-23.60;-263.59;-58.34;19.68
1747;1;-1.650;0.150;-3.585;2.49;0.14;80.65;2.13;4.72;179.99;82.46;-17.30;53.35;114.00
;;;;;0.35;-1.81;-25.44;0.27;0.47;-179.05;-23.23;-251.24;-53.68;13.55
1748;1;-1.650;0.250;-3.599;2.48;0.13;81.67;2.08;4.45;178.21;90.96;-17.87;35.73;107.86
;;;;;0.36;-1.70;-25.59;0.24;0.64;-178.51;-27.10;-242.82;-39.13;14.14
1749;1;-1.650;0.350;-3.614;2.33;0.12;84.23;1.98;4.81;177.42;95.86;-30.64;34.13;101.14
;;;;;0.28;-1.63;-25.71;0.21;0.61;-178.23;-30.51;-232.79;-39.43;13.64
1750;1;-1.650;0.450;-3.629;2.05;-0.13;87.72;1.80;4.89;179.65;114.12;-31.89;30.37;93.90
;;;;;0.14;-1.54;-25.93;0.22;0.60;-172.80;-32.89;-220.69;-38.51;16.18
1751;1;-1.650;0.550;-3.643;1.73;-0.15;89.68;1.58;4.89;176.17;127.20;-28.34;30.59;87.15
;;;;;-0.22;-1.45;-89.51;0.21;0.64;-177.70;-34.13;-208.42;-36.53;15.72
1752;1;-1.650;0.650;-3.658;1.38;-0.17;72.65;1.36;4.86;179.86;134.71;-25.76;31.97;81.35
;;;;;-0.35;-1.46;-85.71;0.19;0.70;-179.79;-34.24;-196.93;-33.34;16.37
1753;1;-1.650;0.750;-3.673;1.02;-0.20;72.67;1.14;4.87;171.03;137.71;24.77;33.67;76.60
;;;;;-0.48;-1.53;-79.80;0.19;0.78;-176.31;-38.28;-186.44;-32.73;17.37
1754;1;-1.650;0.850;-3.687;0.70;-0.30;73.03;1.01;4.86;174.08;137.10;29.22;36.27;72.81
;;;;;-0.56;-1.63;-73.16;0.19;0.88;-171.47;-43.46;-176.79;-31.40;18.53
1755;1;-1.650;0.950;-3.702;0.39;-0.32;73.98;1.01;4.78;178.73;133.93;32.61;38.73;70.12
;;;;;-0.64;-1.79;-86.88;0.17;0.82;-166.18;-48.17;-168.21;-30.04;19.64
1756;1;-1.650;1.050;-3.717;0.33;-0.35;75.11;1.07;4.57;157.03;128.94;34.90;41.35;70.05
;;;;;-0.63;-1.99;-80.82;0.16;0.83;-177.74;-50.52;-160.46;-27.69;20.68
1757;1;-1.650;1.150;-3.731;0.33;-0.37;77.61;1.15;4.32;162.08;123.12;36.07;44.03;71.50
;;;;;-0.59;-2.21;-75.89;0.14;0.82;-169.79;-53.97;-153.26;-24.77;21.61
1758;1;-1.650;1.250;-3.746;0.35;-0.40;85.29;1.25;4.18;166.84;117.67;36.09;46.69;73.34
;;;;;-0.58;-2.44;-71.78;0.12;0.67;-171.14;-57.03;-146.09;-21.25;17.82
1759;1;-1.650;1.350;-3.761;0.37;-0.42;82.20;1.37;4.05;171.71;111.85;34.97;49.28;75.25
;;;;;-0.82;-2.67;-89.51;0.12;0.34;-165.80;-59.49;-138.34;-20.03;18.09
1760;1;-1.650;1.450;-3.775;0.41;-0.45;84.36;1.50;3.93;176.92;106.04;32.76;51.82;76.79
;;;;;-1.03;-2.91;-73.65;0.13;0.37;-168.68;-61.35;-131.79;-19.26;18.24
1761;1;-1.650;1.550;-3.790;0.45;-0.41;87.66;1.64;4.05;178.22;100.49;-32.88;54.34;77.50
;;;;;-1.19;-3.14;-67.75;0.14;0.47;-177.24;-62.63;-129.73;-18.81;23.97
1762;1;-1.650;1.650;-3.805;0.50;-0.34;88.77;1.78;4.18;160.03;95.32;-34.63;56.93;76.82
;;;;;-1.29;-3.36;-85.86;0.16;0.78;-175.71;-63.57;-127.45;-19.67;24.09
1763;1;-1.650;1.750;-3.820;0.60;-0.29;89.99;1.93;4.23;178.54;90.60;-35.08;59.70;84.89
;;;;;-1.35;-3.57;-89.79;0.15;0.73;-165.44;-63.60;-124.98;-19.88;23.59
1764;1;-1.650;1.850;-3.834;0.71;-0.30;65.49;2.08;4.19;178.10;86.33;-38.61;62.88;90.35
;;;;;-1.40;-3.76;-88.79;0.15;0.64;-165.52;-62.98;-122.25;-19.52;23.60
1765;1;-1.650;1.950;-3.849;0.84;-0.32;63.92;2.22;4.08;122.49;95.20;-30.12;66.88;94.02
;;;;;-1.44;-3.93;-87.95;0.15;0.60;-163.97;-61.98;-119.18;-18.62;22.99
1766;1;-1.750;0.050;-3.595;2.47;0.21;79.53;2.14;6.15;179.83;87.21;-14.68;55.01;115.06
;;;;;0.37;-1.94;-88.76;0.31;0.56;-178.46;-24.12;-252.43;-61.81;20.01
1767;1;-1.750;0.150;-3.609;2.31;0.16;79.04;2.06;4.19;178.98;83.50;-14.62;51.62;108.56
;;;;;0.36;-1.86;-27.81;0.28;0.40;-178.60;-26.88;-243.46;-59.77;9.67
1768;1;-1.750;0.250;-3.623;2.16;0.14;80.78;1.98;3.89;179.30;92.46;-15.30;37.15;103.61
;;;;;0.34;-1.84;-27.51;0.24;0.52;-176.74;-29.72;-236.93;-48.76;12.58
1769;1;-1.750;0.350;-3.637;1.98;0.12;83.28;1.89;4.40;179.93;99.39;-19.81;34.05;98.43
;;;;;0.26;-1.81;-27.38;0.21;0.57;-177.73;-32.63;-229.48;-38.09;13.01
1770;1;-1.750;0.450;-3.651;1.69;-0.13;86.53;1.71;4.47;178.04;117.53;-30.66;31.46;92.32
;;;;;0.22;-1.72;-27.48;0.21;0.59;-179.48;-34.47;-219.10;-37.26;14.75
1771;1;-1.750;0.550;-3.665;1.36;-0.16;89.44;1.49;4.50;179.63;129.52;-27.49;29.03;86.61
;;;;;-0.19;-1.64;-89.19;0.19;0.66;-178.79;-35.04;-208.25;-35.21;14.52
1772;1;-1.750;0.650;-3.679;1.02;-0.18;71.56;1.27;4.64;174.64;136.30;-25.24;30.24;81.84
;;;;;-0.39;-1.67;-86.70;0.18;0.72;-178.50;-34.52;-198.19;-33.36;15.33
1773;1;-1.750;0.750;-3.693;0.70;-0.20;71.42;1.07;4.72;173.86;138.89;-23.69;31.47;77.99
;;;;;-0.55;-1.75;-80.82;0.17;0.78;-174.53;-33.99;-189.00;-32.98;16.26
1774;1;-1.750;0.850;-3.707;0.49;-0.31;71.60;1.03;4.70;179.35;137.96;-22.44;32.98;74.95
;;;;;-0.67;-1.88;-74.28;0.17;0.91;-170.04;-38.69;-180.38;-31.93;17.45
1775;1;-1.750;0.950;-3.721;0.46;-0.34;72.55;1.04;4.60;153.96;134.48;24.56;35.39;72.85
;;;;;-0.73;-2.05;-69.75;0.16;0.85;-177.69;-42.97;-172.60;-30.29;18.58
1776;1;-1.750;1.050;-3.735;0.44;-0.37;72.34;1.10;4.46;159.77;129.03;27.05;37.52;71.63
;;;;;-0.74;-2.24;-79.65;0.15;0.83;-171.52;-45.57;-165.34;-28.81;19.61
1777;1;-1.750;1.150;-3.749;0.43;-0.40;74.80;1.18;4.34;164.86;122.55;28.52;39.75;72.62
;;;;;-0.81;-2.46;-72.43;0.14;0.73;-169.48;-48.48;-158.27;-26.36;20.55
1778;1;-1.750;1.250;-3.763;0.43;-0.42;78.88;1.28;4.22;169.51;116.37;28.99;42.02;74.25
;;;;;-0.81;-2.69;-67.39;0.14;0.52;-172.48;-50.82;-150.95;-23.38;21.35
1779;1;-1.750;1.350;-3.777;0.45;-0.45;86.23;1.39;4.11;173.97;109.79;28.48;44.28;75.79
;;;;;-1.02;-2.92;-64.39;0.15;0.40;-175.36;-52.59;-142.76;-21.75;17.60
1780;1;-1.750;1.450;-3.791;0.47;-0.43;82.12;1.52;4.13;178.48;103.21;27.03;46.54;76.86
;;;;;-1.19;-3.15;-85.23;0.14;0.33;-178.18;-53.81;-132.95;-20.87;17.77
1781;1;-1.750;1.550;-3.805;0.50;-0.37;84.77;1.65;4.32;178.94;96.90;-26.86;48.82;76.97
;;;;;-1.30;-3.37;-63.58;0.15;0.32;-179.32;-54.48;-127.52;-21.75;17.82
1782;1;-1.750;1.650;-3.820;0.54;-0.32;86.94;1.79;4.42;175.75;91.04;-33.33;51.16;82.40
;;;;;-1.36;-3.58;-61.15;0.16;0.46;-176.25;-54.83;-125.75;-22.52;22.94
1783;1;-1.750;1.750;-3.834;0.58;-0.29;88.82;1.93;4.44;171.77;85.71;-35.27;53.66;89.54
;;;;;-1.40;-3.78;-67.33;0.17;0.54;-167.67;-55.89;-123.75;-22.65;22.81
1784;1;-1.750;1.850;-3.848;0.62;-0.31;89.77;2.07;4.37;177.17;80.92;-37.40;56.50;95.27
;;;;;-1.43;-3.96;-89.84;0.16;0.57;-176.35;-55.07;-121.48;-22.21;22.43
1785;1;-1.750;1.950;-3.862;0.67;-0.33;89.82;2.21;4.20;153.41;90.93;-29.94;60.05;98.27
;;;;;-1.45;-4.11;-88.86;0.16;0.56;-176.09;-53.28;-118.84;-21.24;17.79
1786;1;-1.850;0.050;-3.619;2.40;0.22;78.43;2.06;5.80;178.64;89.41;-12.13;53.02;107.62
;;;;;0.39;-1.86;-32.05;0.29;0.48;-173.35;-26.85;-242.06;-64.88;15.35
1787;1;-1.850;0.150;-3.633;2.17;0.17;78.89;2.00;4.32;179.31;85.51;-12.31;49.88;102.80
;;;;;0.37;-1.91;-30.18;0.28;0.36;-179.36;-30.97;-236.57;-65.38;18.93
1788;1;-1.850;0.250;-3.646;1.90;0.14;80.85;1.89;4.02;173.14;94.18;-13.03;46.83;98.41
;;;;;0.33;-1.92;-29.33;0.25;0.40;-176.86;-33.92;-230.74;-62.88;10.54
1789;1;-1.850;0.350;-3.660;1.67;0.13;82.54;1.79;4.00;173.27;103.43;-14.07;35.30;94.35
;;;;;0.30;-1.93;-28.87;0.22;0.59;-178.05;-36.24;-224.94;-36.76;12.36
1790;1;-1.850;0.450;-3.673;1.36;0.12;85.62;1.61;4.13;175.91;120.16;-29.38;32.44;89.37
;;;;;0.20;-1.85;-28.83;0.20;0.62;-177.21;-37.41;-216.15;-36.00;14.12
1791;1;-1.850;0.550;-3.686;1.03;-0.16;89.75;1.39;4.37;179.10;131.13;-26.64;29.78;84.75
;;;;;-0.19;-1.84;-88.07;0.18;0.71;-174.18;-37.35;-206.86;-33.89;13.75
1792;1;-1.850;0.650;-3.700;0.70;-0.18;70.81;1.19;4.61;177.43;137.34;-24.75;27.85;81.00
;;;;;-0.38;-1.89;-87.63;0.18;0.76;-176.21;-36.27;-198.28;-33.52;13.89
1793;1;-1.850;0.750;-3.713;0.65;-0.21;70.57;1.09;4.71;179.96;139.52;-23.50;31.10;78.11
;;;;;-0.57;-1.99;-81.86;0.17;0.79;-173.96;-34.20;-190.42;-33.30;15.15
1794;1;-1.850;0.850;-3.727;0.60;-0.24;71.23;1.06;4.63;150.01;138.23;-23.11;30.12;75.95
;;;;;-0.72;-2.13;-75.51;0.16;0.81;-177.28;-33.45;-182.98;-32.47;16.36
1795;1;-1.850;0.950;-3.740;0.57;-0.28;70.54;1.07;4.53;154.61;134.33;-21.91;31.92;74.61
;;;;;-0.81;-2.30;-85.61;0.15;0.85;-172.25;-37.18;-176.10;-31.16;17.48
1796;1;-1.850;1.050;-3.754;0.54;-0.31;71.15;1.12;4.42;168.35;128.43;-23.23;33.58;73.98
;;;;;-0.85;-2.50;-68.62;0.16;0.84;-174.78;-40.30;-169.50;-29.87;18.51
1797;1;-1.850;1.150;-3.767;0.52;-0.42;71.53;1.20;4.32;171.24;121.53;-24.33;35.37;73.91
;;;;;-0.89;-2.71;-60.50;0.15;0.82;-177.96;-42.93;-162.85;-27.78;19.42
1798;1;-1.850;1.250;-3.780;0.52;-0.45;73.83;1.29;4.22;179.18;114.77;-25.56;37.25;74.87
;;;;;-1.01;-2.93;-58.29;0.15;0.79;-174.30;-45.00;-155.69;-25.22;20.22
1799;1;-1.850;1.350;-3.794;0.53;-0.42;77.06;1.41;4.15;176.61;107.61;-26.93;39.17;76.31
;;;;;-1.20;-3.16;-59.80;0.14;0.63;-176.77;-46.51;-147.42;-24.11;20.87
1800;1;-1.850;1.450;-3.807;0.54;-0.37;80.64;1.53;4.38;178.19;100.43;-25.64;41.12;77.17
;;;;;-1.33;-3.38;-86.31;0.15;0.46;-178.80;-47.45;-137.31;-23.33;17.24
1801;1;-1.850;1.550;-3.821;0.56;-0.33;83.53;1.66;4.54;179.26;93.64;-26.15;43.09;79.83
;;;;;-1.40;-3.60;-61.00;0.16;0.38;-177.37;-47.85;-125.49;-24.74;17.30
1802;1;-1.850;1.650;-3.834;0.58;-0.29;85.88;1.79;4.62;170.01;87.29;-31.88;45.11;87.99
;;;;;-1.43;-3.80;-58.97;0.16;0.37;-178.36;-47.72;-124.13;-25.39;21.73
1803;1;-1.850;1.750;-3.848;0.60;-0.30;87.85;1.92;4.61;169.09;81.42;-33.85;47.21;95.13
;;;;;-1.45;-3.99;-55.83;0.17;0.37;-171.24;-47.04;-122.53;-25.42;21.58
1804;1;-1.850;1.850;-3.861;0.63;-0.32;89.70;2.06;4.50;178.67;87.76;-28.85;49.50;100.65
;;;;;-1.46;-4.15;-51.73;0.18;0.37;-162.95;-46.43;-120.65;-24.90;23.83
1805;1;-1.850;1.950;-3.875;0.66;-0.34;89.22;2.20;4.29;160.71;94.56;-23.60;52.20;103.92
;;;;;-1.47;-4.29;-89.06;0.19;0.48;-179.71;-46.05;-118.38;-23.86;16.23
1806;1;-1.950;0.050;-3.644;2.33;0.22;77.48;1.99;5.74;176.17;91.08;-14.69;51.32;99.97
;;;;;0.63;-1.87;-35.43;0.53;0.79;-179.72;-33.00;-232.93;-67.98;35.97
1807;1;-1.950;0.150;-3.657;2.02;0.18;77.62;1.92;4.64;169.89;87.73;-14.56;48.16;96.34
;;;;;0.37;-1.93;-32.58;0.28;0.65;-175.61;-36.94;-229.62;-70.85;17.25
1808;1;-1.950;0.250;-3.670;1.69;0.15;79.60;1.81;4.31;170.97;96.03;-11.02;45.28;92.43
;;;;;0.32;-1.98;-31.16;0.27;0.64;-179.64;-39.62;-224.49;-80.19;10.26
1809;1;-1.950;0.350;-3.682;1.40;0.14;82.62;1.69;4.08;176.32;106.82;-12.03;40.70;88.98
;;;;;0.29;-2.04;-30.36;0.22;0.70;-179.89;-41.35;-219.32;-36.05;8.99
1810;1;-1.950;0.450;-3.695;1.07;-0.14;85.79;1.51;4.03;178.58;122.17;-28.10;33.39;85.08
;;;;;0.24;-2.04;-30.14;0.21;0.76;-176.11;-41.84;-212.00;-34.83;13.14
1811;1;-1.950;0.550;-3.708;0.84;-0.17;89.95;1.31;4.38;178.80;132.31;-25.82;30.48;81.57
;;;;;0.18;-2.06;-30.33;0.19;0.80;-169.94;-41.20;-204.34;-33.88;13.04
1812;1;-1.950;0.650;-3.721;0.80;-0.19;70.48;1.18;4.54;175.51;137.95;-24.32;34.60;78.89
;;;;;-0.38;-2.13;-88.41;0.20;0.80;-179.48;-39.48;-197.26;-33.76;13.35
1813;1;-1.950;0.750;-3.734;0.75;-0.22;70.21;1.11;4.55;174.15;139.58;-23.36;32.52;77.59
;;;;;-0.59;-2.24;-82.85;0.19;0.81;-175.98;-36.64;-190.73;-33.68;14.08
1814;1;-1.950;0.850;-3.746;0.71;-0.26;70.29;1.09;4.51;173.83;137.85;-22.76;29.89;76.10
;;;;;-0.76;-2.38;-77.98;0.18;0.82;-175.15;-32.74;-184.59;-33.07;15.26
1815;1;-1.950;0.950;-3.759;0.67;-0.30;70.11;1.10;4.44;170.14;133.52;-22.39;27.87;75.50
;;;;;-0.88;-2.55;-70.59;0.17;0.84;-179.25;-32.01;-178.78;-31.99;16.36
1816;1;-1.950;1.050;-3.772;0.64;-0.41;70.73;1.15;4.36;177.25;127.22;-22.02;29.42;75.67
;;;;;-0.96;-2.74;-64.65;0.17;0.85;-176.35;-35.01;-173.07;-30.86;17.36
1817;1;-1.950;1.150;-3.785;0.62;-0.44;69.48;1.22;4.27;175.96;120.12;-22.70;30.80;76.25
;;;;;-1.00;-2.95;-59.19;0.17;0.82;-179.49;-37.48;-167.10;-29.06;18.25
1818;1;-1.950;1.250;-3.798;0.61;-0.39;71.52;1.31;4.19;177.98;112.92;-23.94;32.30;77.04
;;;;;-1.20;-3.17;-54.27;0.14;0.79;-170.59;-39.38;-160.40;-27.01;19.02
1819;1;-1.950;1.350;-3.810;0.60;-0.34;75.70;1.42;4.39;176.03;105.32;-25.30;33.89;77.73
;;;;;-1.35;-3.39;-53.63;0.15;0.74;-172.61;-40.71;-152.40;-26.56;19.65
1820;1;-1.950;1.450;-3.823;0.61;-0.31;79.67;1.53;4.58;178.07;97.96;-26.80;35.51;77.97
;;;;;-1.44;-3.61;-54.59;0.15;0.61;-173.93;-41.49;-142.37;-26.46;20.11
1821;1;-1.950;1.550;-3.836;0.61;-0.29;82.78;1.66;4.70;178.17;90.97;-25.34;37.16;84.78
;;;;;-1.48;-3.82;-55.70;0.16;0.40;-177.80;-41.71;-129.50;-27.70;16.93
1822;1;-1.950;1.650;-3.849;0.62;-0.27;85.30;1.79;4.75;173.69;84.33;-25.99;38.80;92.96
;;;;;-1.49;-4.02;-54.72;0.17;0.39;-179.94;-41.38;-122.38;-28.22;17.04
1823;1;-1.950;1.750;-3.862;0.63;-0.30;87.44;1.92;4.72;174.23;85.86;-33.70;39.03;100.13
;;;;;-1.49;-4.20;-52.28;0.17;0.41;-173.79;-40.53;-121.15;-28.15;22.29
1824;1;-1.950;1.850;-3.875;0.65;-0.33;89.33;2.05;4.58;175.69;93.06;-28.68;42.05;105.71
;;;;;-1.50;-4.35;-48.83;0.18;0.38;-166.82;-39.49;-120.31;-27.55;17.29
1825;1;-1.950;1.950;-3.887;0.66;-0.35;89.39;2.17;4.35;178.51;100.77;-23.25;43.61;109.10
;;;;;-1.50;-4.48;-88.97;0.19;0.37;-177.16;-38.59;-118.96;-26.44;19.33
1826;1;-0.200;2.200;-3.723;2.43;0.36;58.03;1.66;10.34;126.46;90.14;-41.45;31.00;141.55
;;;;;-1.20;-3.34;-68.07;0.27;1.16;-137.81;-15.58;-210.87;-58.13;17.18
1827;1;-0.200;2.600;-3.818;2.19;0.73;20.27;1.84;17.78;177.11;134.70;-33.08;58.95;186.51
;;;;;-4.73;-6.59;-67.22;0.28;1.23;-178.35;-10.25;-268.96;-58.06;14.93
1828;1;-0.200;3.000;-3.912;1.57;1.04;55.62;2.17;23.94;-59.41;467.38;-40.81;80.10;365.06
;;;;;-7.16;-10.33;-87.79;0.28;2.45;-178.06;27.80;-290.31;-51.20;34.65
1829;1;-0.200;3.400;-4.008;1.45;0.87;73.42;2.67;28.99;179.89;1132.17;-87.81;79.50;683.30
;;;;;-7.16;-12.51;-71.16;0.29;2.85;-179.86;34.87;-234.84;-89.90;56.19
1830;1;-0.200;3.800;-4.102;0.89;-0.24;87.53;2.89;34.15;174.19;1892.67;-47.95;85.54;1005.57
;;;;;-2.60;-7.19;-89.30;0.39;2.77;-95.01;75.56;-160.12;-82.43;38.03
1831;1;-0.600;2.200;-3.767;2.10;-0.22;16.98;2.00;7.79;59.30;155.80;-39.32;35.99;141.57
;;;;;-0.10;-3.47;-81.90;0.15;1.27;-147.33;-55.13;-160.12;-71.15;21.38
1832;1;-0.600;2.600;-3.852;2.52;0.46;62.39;2.73;12.09;110.16;245.05;-26.94;39.61;133.24
;;;;;-1.85;-5.59;-89.73;0.28;1.34;-159.81;-17.81;-141.71;-52.89;18.56
1833;1;-0.600;3.000;-3.938;2.56;0.48;75.93;3.03;12.23;179.58;623.60;17.40;74.83;307.27
;;;;;-3.05;-8.37;-88.43;0.31;1.05;-179.47;17.77;-106.94;-45.89;20.91
1834;1;-0.600;3.400;-4.023;2.34;-0.31;60.53;3.67;13.43;150.78;1268.71;-17.39;89.53;644.79
;;;;;-2.62;-9.95;-89.28;0.49;1.20;-172.98;35.92;-123.48;-89.65;44.05
1835;1;-0.600;3.800;-4.108;2.14;-0.26;68.69;3.67;21.34;179.06;1941.00;-45.61;87.91;993.30
;;;;;0.43;-6.84;-88.79;0.54;2.44;-178.87;71.33;-162.28;-80.09;61.08
1836;1;-1.000;2.200;-3.813;1.53;-0.20;83.96;2.44;5.32;38.58;170.55;-36.69;82.39;106.40
;;;;;-1.13;-3.64;-79.20;0.12;0.90;-137.60;-83.04;-132.58;-75.99;26.20
1837;1;-1.000;2.600;-3.888;2.08;-0.27;87.35;2.92;7.95;22.88;324.59;91.63;36.78;118.85
;;;;;-1.63;-4.71;-16.95;0.13;1.32;-168.94;-49.82;-107.76;-56.93;21.30
1838;1;-1.000;3.000;-3.963;2.39;-0.32;82.62;2.75;7.78;173.25;764.14;111.80;69.17;330.90
;;;;;-1.63;-6.39;-19.32;0.31;1.42;-156.54;-27.07;-93.27;-39.66;24.34
1839;1;-1.000;3.400;-4.037;2.48;-0.29;88.19;3.27;7.39;147.89;1377.82;76.60;85.81;658.15
;;;;;-1.19;-7.56;-29.06;0.55;1.18;-47.21;33.12;-140.36;-21.22;29.85
1840;1;-1.000;3.800;-4.113;2.48;-0.46;88.73;3.72;14.67;118.85;1967.08;29.47;85.54;985.12
;;;;;0.59;-5.94;-88.82;0.60;1.05;-78.05;48.37;-168.48;-82.96;51.36
1841;1;-1.400;2.200;-3.858;1.42;-0.32;74.43;2.57;3.95;-37.44;157.19;42.02;65.07;75.28
;;;;;-1.61;-3.96;-87.33;0.11;0.58;-108.21;-80.98;-108.47;-83.94;23.25
1842;1;-1.400;2.600;-3.922;1.60;-0.36;75.58;2.81;4.61;133.45;386.42;136.77;35.95;128.29
;;;;;-1.71;-4.22;-14.70;0.15;0.93;-166.31;-56.67;-81.79;-71.77;22.75
1843;1;-1.400;3.000;-3.987;1.86;-0.39;68.14;2.27;4.99;137.09;863.05;140.92;63.58;365.95
